"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"227646_at",67.6572604717119,-1.68180004220619,0.289281602443719,-5.81371241032652,6.11023526769291e-09,1.57390617109589e-07
"227744_s_at",18.7848054551108,-1.0937323506745,0.187516461878406,-5.8327271094936,5.45287097343355e-09,1.43675546545031e-07
"227952_at",39.9603567871776,1.65182456922923,0.491767850270919,3.35895192888113,0.000782386759963491,0.00394308617795279
"228188_at",208.861556831798,1.00791551458553,0.266413545474503,3.7832742805564,0.000154778689791143,0.00101575675012029
"228315_at",105.602844584874,-1.24029549727991,0.236785470238828,-5.23805576427014,1.62277035042726e-07,2.79120720742541e-06
"228377_at",36.534204220376,-1.70635934356279,0.265288866407276,-6.43208049652246,1.25869046668962e-10,5.33612141118704e-09
"228390_at",119.812503194285,-1.34809756132732,0.190507401391687,-7.07635268487866,1.47997921843875e-12,1.08152956476737e-10
"228527_s_at",88.017814005151,-2.14280624155674,0.394605372923509,-5.4302510522889,5.62748303587237e-08,1.10192032739428e-06
"228556_at",51.7762668996533,-1.51853326769979,0.222038632531702,-6.83904981032063,7.97201657075667e-12,4.62481856058765e-10
"228582_x_at",1308.06893411862,-1.22009533780539,0.254528441973309,-4.79355206179014,1.63853911849051e-06,2.09957252726367e-05
"228592_at",4433.58283227971,-1.45057939374001,0.369134635341093,-3.92967566535616,8.50605165212085e-05,0.000609473150009747
"228599_at",431.831142474851,-1.5463980593233,0.364628901979289,-4.24101888503379,2.22507412191568e-05,0.000195301641681455
"228697_at",265.383695834209,2.81883968449902,0.251893255326545,11.1906119949293,4.53294060674279e-29,2.99786027026934e-25
"228818_at",42.7668176301247,-1.17608110776979,0.217681849407935,-5.40275227800834,6.56260630889306e-08,1.25077224276266e-06
"228866_at",96.7362197166875,-1.35067681651925,0.263606330365193,-5.12384059460204,2.993741079598e-07,4.77233005957973e-06
"229010_at",39.4123167347506,-1.239203671919,0.241977008150286,-5.12116287986074,3.03657213946579e-07,4.83621188304805e-06
"229036_at",89.1065632044161,-1.13962962761177,0.20314145558248,-5.61002984026103,2.02291731081208e-08,4.50077834652841e-07
"229045_at",53.3861222397655,1.76540524929644,0.263233683929384,6.70660845125744,1.99199816021992e-11,1.0414292357798e-09
"229072_at",75.8496130123505,-1.06262549682688,0.192891131386079,-5.50893910565536,3.61002751511133e-08,7.45508726656948e-07
"229115_at",85.7780275155446,-1.03608937564813,0.220000142850682,-4.70949410406218,2.48332397183799e-06,3.00383412670334e-05
"229274_at",327.540518206345,-3.10863680575538,0.291208999000156,-10.6749338668401,1.33352443389675e-26,2.71361964417728e-23
"229353_s_at",1652.39671883859,-1.06980149707315,0.163013272862574,-6.56266497989419,5.2854509705359e-11,2.50575842248310e-09
"229389_at",267.709492694502,-1.18438280430119,0.238264354308103,-4.97087702329845,6.66507168002251e-07,9.66654639382211e-06
"229399_at",32.1718437097243,-1.52331633894533,0.23214692478976,-6.56186309736776,5.31395934780348e-11,2.51476709457591e-09
"229513_at",266.073194284032,-1.65668218482683,0.204003914736186,-8.12083526421155,4.6298611946708e-16,8.74845343170153e-14
"229586_at",147.522174047359,-1.81378748930609,0.24524958415711,-7.3956801824551,1.40686245502652e-13,1.38869923079371e-11
"229706_at",20.067328221657,-1.00242241486507,0.271886108125759,-3.68692031297682,0.000226984396270123,0.00141115330758831
"229982_at",231.794388539951,-2.39454211683279,0.294312436652856,-8.13605481326353,4.08366981111727e-16,7.88535775060557e-14
"230000_at",783.225735014437,-1.67021329800739,0.273164187530519,-6.1143201570696,9.69694560637553e-10,3.18662110647277e-08
"230014_at",73.3576386240633,-1.64471438393188,0.350515366347682,-4.6922746955991,2.70184012150203e-06,3.22247423688976e-05
"230058_at",91.5765410042975,-1.59851048809728,0.253933800271737,-6.29498903409749,3.0742159178535e-10,1.17692196658316e-08
"230128_at",51.8519764378793,-1.20822130300748,0.254506153774345,-4.74731665655022,2.06133099356517e-06,2.55292369399686e-05
"230170_at",40.339635693133,-1.09491983793664,0.13424178766919,-8.15632640884399,3.45368297326045e-16,6.76768365738015e-14
"230175_s_at",17.439789362132,1.09826896752187,0.198513168524195,5.53247412091965,3.15745039644376e-08,6.6500147982426e-07
